능력단위코드,능력단위명,정의,대분류,중분류,소분류,세분류,지식,기술,태도,검색키워드
0403020305,이러닝운영 학습활동지원,"이러닝운영 학습활동지원이란 학습 환경을 최적화하고, 수강 오류를 신속하게 처리하며, 학습 활동이 촉진되도록 학습자를 지원하는 능력이다.",교육·자연·사회과학,직업교육,이러닝,이러닝과정(process)운영,교육과정 운영 방법 | 상호작용을 포함한 학습촉진 전략 | 수강오류의 유형과 대처법,"PC, 모바일에 대한 원격지원 방법 | 상황에 적합한 의사소통 채널 선정 능력 | 온라인 커뮤니티 지원 능력",발생한 오류사항을 실무부서에 정확하게 전달하려는 자세 | 오류 발생 시 신속하게 대처하는 자세 | 학습자 불만 및 요청사항을 경청하는 자세,인공지능
0803020806,캐릭터 권리화,캐릭터 권리화란 개발된 캐릭터를 지식재산권으로 등록하여 활용을 위한독점권을 확보하는 능력이다.,문화·예술·디자인·방송,문화콘텐츠,문화콘텐츠제작,캐릭터콘텐츠제작,계약서 작성 및 필수 구성 요소에 대한 지식 | 권리자의 의무와 권리를 이해 할 수 있는 지식 | 디자인 등록 절차에 대한 지식,계약서 작성 및 검토 능력 | 디자인 등록에 필요한 서류와 자료 확보 능력 | 디자인권 분쟁 발생 시 대응 능력,계약서 작성 및 관리에 대한 관심 | 디자인 보호법에 대한 관심 | 로열티 산정에 대한 관심,인공지능
2001060509,지능형영상관제 체계 수립,지능형영상관제 체계 수립이란 지능형영상관제 업무 목표와 범위를 설정하여 업무 체계를 구축하고 개선하는 능력이다.,정보통신,정보기술,정보보호,영상정보처리,,,,인공지능
2001070205,인공지능 서비스 시나리오 기획,인공지능 서비스 시나리오 기획이란 인공지능 서비스 요소들의 기능적 상호작용에 대한 흐름을 체계화하고 타당성을 검증하여 시나리오를 확정하는 능력이다.,정보통신,정보기술,인공지능,인공지능서비스기획,HCI(Human Compute Interaction) 관련 지식 | MLOps(Machine learning operation) 관련 지식 | 객관적 서비스 평가 지표 도출 방법 관련 지식,"UI/UX 도구 활용 능력 | 객관적인 성과 평가 원리, 기법 적용 능력 | 논리적 시나리오 작성과 전달 능력",개념적 특징을 명확하게 파악하고 논리적으로 표현하는 능력 | 객관적이고 논리적으로 판단하려는 자세 | 객관적이고 논리적인 판단 능력,인공지능
2002040106,3D 그래픽 디자인,"3D 그래픽 디자인이란 콘셉트 원화를 바탕으로 입체모델 및 텍스쳐 맵을 제작하고, 시간과 공간 속의 동적인 애니메이션을 제작하며,메시(Mesh)와 파티클(Particle) 시스템을 이용해 이펙트를 제작하는 능력이다.",정보통신,통신기술,실감형콘텐츠제작,가상현실콘텐츠제작,,,,인공지능
0502030202,스마트재난관리정보설계,"스마트재난관리정보설계란 스마트기술을 활용한 효율적인 재난관리업무(예방, 대비, 대응, 복구)를 지원하기 위해 재난 규모 및 유형에 맞는 대용량의 각종 재난정보를 분류하고 체계화하여 실시간 의사결정 지원을 할수 있는 저장구조로 설계하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난관리설계,"Extended E-R 표기법 | SQL, NoSQL(Not Only SQL) | 기술 지원 솔루션의 운영 환경 및 기반 기술에 관한 지식",IT기반 스마트기술을 적용한 데이터 분석 능력 | 기술 지원 솔루션의 기반 기술 적용 능력 | 데이터 무결성 및 데이터베이스 보안 체계 설계 능력,경험적 지식 활용 추구 | 경험적 지식을 적극 활용하려는 자세 | 기존 데이터 분석 방법과 신기술 적용 방법을 종합 분석하고 적용하는노력,인공지능
0904010515,소형무인기 공간정보 운용,"소형무인기 공간정보 운용이란 전자광학카메라, Lidar 장비, 적외선/자외선/스펙트럼 촬영장비 등을 사용하여 공간정보 영상을 획득하기 위하여 공간정보 촬영장치 점검, 공간정보 촬영계획 작성, 공간정보 촬영 비행, 공간정보 촬영정보 관리를 하는 능력이다.",운전·운송,항공운전·운송,항공기조종운송,소형무인기운용·조종,공간 자료와 영상간 관계 지식 | 매뉴얼 지식 | 매뉴얼 지식,고위험지역 비행 능력 | 대공표지 설치 및 GPS 측량 능력 | 매뉴얼 파악 능력,기획의도를 이해하고 토론하는 긍정적인 태도 | 기획의도를 이해하고 토론하는 긍정적인 태도 | 기획의도를 이해하고 토론하는 긍정적인 태도,인공지능
2001070308,인공지능 모델 활용 관리,"인공지능 모델 활용 관리란 선정된 모델의 구성요소, 배포를 관리하고 서비스에 적용된 모델의 성능을 관리하여 개선하는 능력이다.",정보통신,정보기술,인공지능,인공지능모델링,API Framework 개발 이론 | SW 개발과 형상관리 방법론 | SW 테스트 이론,API 프로그래밍 기술 | Container 개발 기술 | SW CI/CT/CD 기술,"개발 구성요소를 정확하게 식별, 파악하려는 노력 | 배포 절차를 심도 있게 분석하고 개선하려는 의지 | 절차를 심도 있게 분석하고 개선하려는 노력",인공지능
2001070202,인공지능 서비스 목표 수립,"인공지능 서비스 목표 수립이란 서비스 대상 고객을 확인하고, 인공지능서비스의 목표를 설정한 후 관련된 법·윤리 사항을 고려하여 목표를 정하는 능력이다.",정보통신,정보기술,인공지능,인공지능서비스기획,고객 식별 방법론 | 고객 정의 방법론 | 관련된 법/윤리 파악을 위한 기법,논리적 분석 능력 | 논리적으로 목표를 설정하는 능력 | 단계별 목표 수립 능력,논리적으로 사고하려는 태도 | 논리적으로 사고하려는 태도 | 다양한 제약사항을 수용하고 고려하는 태도,인공지능
0203020202,결산관리,"결산관리란 회계기간의 수익, 비용을 확정하여 경영성과를 파악하고, 결산일 현재의 자산, 부채, 자본을 측정·평가하고 재무상태를 파악하여 재무제표를 작성하는 능력이다.",경영·회계·사무,재무·회계,회계,세무,,,,인공지능
2001070405,인공지능서비스 운영품질관리,인공지능서비스 운영품질관리란 인공지능서비스의 지속적인 품질 개선을위하여 품질지표를 선정하고 서비스 요소별 품질을 점검하여 품질을 개선하는 능력이다.,정보통신,정보기술,인공지능,인공지능서비스운영관리,국내 및 해외 품질모델 관리방법론 | 서비스 우선순위 선정기법 | 서비스품질 핵심요소기술,개선방법론 활용 능력 | 개선프로세스 설계 능력 | 명세화 능력,개선활동 수행 시 효과적인 자원의 활용으로 비용을 최소화하려는 노력 | 객관적이고 합리적으로 우선순위를 선정하려는 태도 | 기능적 및 비기능적 제약사항에 대해 극복하려는 노력,인공지능
0201030210,고객 관계 관리,고객 관계 관리란 고객데이터 분석 결과를 바탕으로 고객 유형을 분류하여 고객 관계를 확보하고 유지하기 위한 업무를 수행하는 능력이다.,경영·회계·사무,기획사무,마케팅,고객관리,고객 유형별 소구력 | 고객과의 커뮤니케이션 방법 | 고객관계 유지 활동 방법,고객 가치 측정 기술 | 고객 수익 기여도 관리 능력 | 고객 유형별 대응 능력,고객만족으로 자사 경쟁력을 강화하려는 태도 | 고객에 대한 서비스 자세 | 고객의 다양성을 인정하는 자세,인공지능
1901010301,원자력발전 계획설계,"계획설계란 선정된 발전소부지에 대해 송수전계통을 검토하고, 발전소건설여건을 조사하여, 발전소 건설을 위한 인허가 요건, 부지에 대한 타당성,원자력발전설비의 생애주기비용을 검토하는 능력이다.",전기·전자,전기,발전설비설계,원자력발전설비설계,"건설과정, 단계별 업무 | 건설비용과 운영비용, 고정비와 가변비 | 고장전류 지식",건설비용과 운영비용의 구분능력 | 고정비와 가변비의 구분 적용능력 | 대안별 경제성분석의 적용능력,"공사목표 달성을 위한 전략적 사고 | 관련 조건의 적극적인 준수, 반영 | 기한 내 업무처리, 완료기간 준수",인공지능
2001070402,인공지능서비스 이용자관리,"인공지능서비스 이용자관리란 인공지능서비스의 적절한 활용을 위해서 인공지능서비스에 대한 이용정책 수립하기, 과금관리 계획하기, 이용불만사항(VOC) 대응하기 등을 수행하는 능력이다.",정보통신,정보기술,인공지능,인공지능서비스운영관리,BPMN(business process model and notation) | ISO/IEC 20000 국제표준 | ISO/IEC 38500 국제표준,과금미납자 통제절차를 수립할 수 있는 능력 | 과금실적을 모니터링 할 수 있는 능력 | 데이터 분석도구 활용 능력,결과의 완성도를 위한 적극적인 수용 태도 | 결과의 완성도를 위한 적극적인 수용 태도 | 결과의 완성도를 위한 적극적인 수용 태도,인공지능
1901130101,스마트 유지보수 운영계획 수립,스마트 유지보수 운영계획 수립이란 전기설비·시스템의 업무 계획과 사고복구 대책을 수립하고 생애주기비용(LCC)을 관리하는 능력이다.,전기·전자,전기,미래형전기시스템,스마트유지보수운영,LCC분석에 대한 지식 | 가치비용 환산 지식 | 사업 투자 운영비 계산 지식,계측기 운영 능력 | 민감도 분석 능력 | 유지보수 계획에 따른 수행 능력,관리자적인 품질관리 의지 | 비상시 대처할 수 있는 신속성 | 비용 산출 오류를 줄이려는 노력,인공지능
2001070106,인공지능 플랫폼 인터페이스 구현,"인공지능 플랫폼 인터페이스 구현이란 인공지능 플랫폼을 구축하기 위하여 인터페이스 설계서에 따라 휴먼 머신 인터랙션, 내·외부 인터페이스를 구현하는 능력이다.",정보통신,정보기술,인공지능,인공지능플랫폼구축,,,,인공지능
2301020310,기상서비스,"기상서비스란 관측자료와 수치자료를 분석하여 맞춤형 예보를 제공하고,과거 시점에 대한 기상감정 평가를 하며, 산업분야에 기상컨설팅 등 데이터 기반 기상정보서비스를 제공하는 능력이다.",환경·에너지·안전,산업환경,대기관리,기상기술관리,감정과 손해사정 기본이론 | 기상 재해 종류 및 영향 | 기상관련 법령,감정 및 손해사정 분석 능력 | 기상 리스크 관리기술 | 기상현상별 각 산업과의 상관관계분석 기술,각 기상현상에 대한 영향을 파악하기 위한 노력 | 고객요구의 변화에 따른 예보제공 방식의 다양화 노력 | 고객의 날씨에 대한 리스크를 줄이기 위한 노력,인공지능
0301020303,연금고객 수요분석,"연금고객 수요분석이란 인구통계, 라이프스타일, 라이프사이클에 기반하여연금고객의 니즈를 파악하고 세분화하여 분석하는 능력이다.",금융·보험,금융,금융상품개발,연금상품개발,"경제, 금융 관련 지식 | 과거 고객군 분류 유형 | 근로계약 형태별 특성",고객군 분류 능력 | 기업 정보시스템 활용 능력 | 데이터 분석을 통한 수리통계학적인 추정 능력,고객 세분화를 위한 분석적 태도 | 고객의 특성을 객관적으로 파악하려는 태도 | 다양한 변수를 고려하는 태도,인공지능
0803020530,게임 인공지능프로그래밍,"게임 인공지능프로그래밍이란 컴퓨터가 대체할 수 있는 사고 기능인 인공지능을 분석하고, 인공지능 프로그램을 설계하며, 이를 구현하는 능력이다.",문화·예술·디자인·방송,문화콘텐츠,문화콘텐츠제작,게임콘텐츠제작,http 프로토콜 프로그래밍에 대한 지식 | http 프로토콜 프로그래밍에 대한 지식 | http 프로토콜 프로그래밍에 대한 지식,http 프로그래밍 언어 작성 능력 | http 프로그래밍 언어 작성 능력 | http 프로그래밍 언어 작성 능력,공학적 치밀함 | 공학적 치밀함 | 공학적 치밀함,인공지능
1903180204,자율주행 위치 측위,"자율주행 위치 측위란 자율주행자동차의 운행을 위하여 GPS, 정밀지도, 카메라 등 센서를 사용하여 위치 측위 기능을 구현하는 능력이다.",전기·전자,전자기기개발,자율주행개발,자율주행소프트웨어개발,"GPS 오차 발생 원인과 오차 감소를 위한 DGPS, RTK 등 방법의 이해 | GPS 측위 원리와 위성의 배열과 상태값 정보에 대한 지식 | 머신러닝 및 딥러닝 관련 인공지능 지식 (CNN 포함)","GPS 데이터 취득 장비 운용 기술 | QGIS, EDS viewer 등 지도 관련 편집 장비 운용 기술 | SVM, ADABOOST, CNN, DNN 등 AI 관련 구현 기술",GPS 오차 발생 원인을 파악하고 해결 방법을 끊임없이 고민하는열정적인 태도 | 대용량 데이터를 처리할 수 있는 끈기있고 꼼꼼한 태도 | 새로운 측위 방법 및 장비에 대한 지속적인 동향 파악 등 적극적인태도,인공지능
0201030310,회귀분석,회귀분석이란 조사목적에 부합된 의미 있는 결과를 도출하기 위하여 기술통계분석 결과를 고려하여 변수간 관련 정도와 연관된 통계분석을 수행하는 능력이다.,경영·회계·사무,기획사무,마케팅,통계조사,단순회귀분석에 대한 이론 | 상관분석과 회귀분석의 차이점 | 상관분석과 회귀분석의 차이점,분석 결과에 대한 통계적 해석 및 업무적용 능력 | 분석 결과에 대한 통계적 해석 및 업무적용 능력 | 분석 결과에 대한 통계적 해석 및 업무적용 능력,객관적인 가설을 설정하려는 태도 | 객관적인 가설을 설정하려는 태도 | 수집된 자료를 정확하게 처리하는 태도,인공지능
1903080319,이동지능 소프트웨어 개발,"이동지능 소프트웨어 개발이란 목적지까지의 로봇 이동을 위하여 환경 지도의 작성, 로봇 위치의 맵핑, 그리고 경로를 계획하고 구현하는 능력이다.",전기·전자,전자기기개발,로봇개발,로봇소프트웨어개발,,,,인공지능
0803021201,드론콘텐츠 기획,"드론콘텐츠 기획은 드론콘텐츠 산업의 동향을 분석하고 매력적인 소재를개발하여 영상과 예체능에 관한 창의적인 콘텐츠를 기획하고 세부적인 예산, 인력 등의 확보와 집행계획을 수립하여 제작을 진행하는 능력이다.",문화·예술·디자인·방송,문화콘텐츠,문화콘텐츠제작,드론콘텐츠제작,국내·외 드론콘텐츠 경향에 대한 지식 | 국내·외 드론콘텐츠 산업에 대한 지식 | 기획할 콘텐츠에 대한 전문 지식,"국내·외 드론콘텐츠 모니터링 및 자료 조사 능력 | 기획안, 프레젠테이션 작성 능력 | 기획안을 설득력 있게 발표할 수 있는 의사소통 능력",기존 드론콘텐츠의 형식과 차별화된 콘텐츠를 기획하고자 하는도전정신 | 기획안을 흥미와 매력을 청자에게 설득하려는 태도 | 논리적 자세와 통찰력,인공지능
0502030203,스마트재난예방업무설계,"스마트재난예방업무설계는 재난예방 관련 법령, 제도를 파악하고, 재난예방 업무에 스마트기술을 이용하여 스마트 재난예방 계획을 수립하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난관리설계,스마트기술(ICBMA)에 관한 지식 | 스마트기술(ICBMA)에 관한 지식 | 스마트기술(ICBMA)에 관한 지식,기본적 수리·정보처리 기술 | 기본적 수리․정보처리 기술 | 목적기반의 재난예방 우선 순위 판단 기술,경험적 지식 추구 | 계획수립 의지 | 공공관리 의식 준수,인공지능
0502030207,스마트재난관리기술적용,"스마트재난관리기술적용 능력단위는 효율적인 재난관리업무를 위해 스마트기술(IoT, 클라우드, 빅데이터, 모바일, AI)을 적용하는 능력이다.",법률·경찰·소방·교도·국방,소방방재,스마트재난관리,스마트재난관리설계,DB 구축 지식 | 기초 통계학 이론 | 네트워크 이해,근거리·원거리 통신 운용 기술 | 네트워크 가상화 기술 | 데이터 마이닝 기술,경험적 지식 추구 | 경험적 지식 추구 | 경험적 지식 추구,인공지능
1701030202,거시환경 분석,"거시환경 분석이란 기업 경영에 영향을 미치는 외부환경과 미래의 변화방향 및 시사점을 탐지하기 위해 메가트렌드, 전ㆍ후방산업, 미래 신기술등을 분석하는 능력이다.",화학·바이오,화학·바이오공통,화학제품연구개발,화학신소재개발,PEST 분석기법 | SWOT 분석기법 | 미래 산업 및 미래 유망 신기술,SWOT 분석 능력 | 가치사슬 분석 능력 | 보고서 작성 능력,기존기술과 미래 신기술의 기술의 차이를 명확히 파악하려는 의지 | 미래 신기술 및 상품 변화를 정확하게 이해하려는 자세 | 미래 신기술과 주력 산업간 융합 방향을 적극적으로 파악하려는 자세유지,인공지능
1903080408,로봇 학습지능 개발,로봇 학습지능 개발이란 다양한 데이터를 분석하고 분류하거나 예측하는지능을 개발하는 능력이다.,전기·전자,전자기기개발,로봇개발,로봇지능개발,데이터를 얻기 위한 다양한 방법에 대한 지식 | 데이터를 표현하기 위한 다양한 방법에 대한 지식 | 머신 러닝 기법의 목표에 대한 지식,다양한 분야에 대한 빠른 학습 기술 | 데이터 분석 및 처리를 위한 프로그램 기술 | 데이터 셋 탐색 및 전처리 기술,개발과정을 정리하고 기록하는 태도 | 개발과정을 정리하고 기록하는 태도 | 새로운 기술에 탐구하는 도전적 태도,인공지능
2001070408,인공지능서비스 운영개선관리,인공지능서비스 운영개선관리란 지속적인 서비스 기능개선과 성능유지를위하여 수집한 인공지능서비스의 개선을 수행하고 관리하는 능력이다.,정보통신,정보기술,인공지능,인공지능서비스운영관리,ITSM(IT service management) 개선 성과 측정 방법 | 네트워크 구성 지식 | 리스크관리 방법론,개선결과보고서작성 능력 | 개선사항 검증 능력 | 개선조치 결과평가 능력,개선 사항 해결을 위한 적극적 태도 | 개선사항 해결을 위한 창의적 태도 | 개선절차준수 태도,인공지능
1204030701,건강운동 ICT 융복합 콘텐츠개발 환경 분석,건강운동 ICT 융복합 콘텐츠개발 환경 분석이란 기존 건강운동 콘텐츠의종류와 형태 및 서비스 환경과 트렌드를 분석하는 능력이다.,이용·숙박·여행·오락·스포츠,스포츠,스포츠경기·지도,건강운동ICT융복합콘텐츠개발,건강운동 콘텐츠 트렌드에 대한 지식 | 건강운동 콘텐츠의 향후 발전 방향에 대한 지식 | 건강운동에 대한 전반적인 지식,ICT 융복합 건강운동 콘텐츠의 적용 기술에 대한 분석 능력 | 개선방안 기획 능력 | 국내 해외 자료 확보 및 분석 능력,건강운동 ICT 융복합 콘텐츠에 대한 적극적인 개발 의지 | 건강한 사회 육성을 위한 책임감 | 새로운 아이디어 도출을 위한 의지,인공지능
0803020816,캐릭터콘텐츠 제작 기획,캐릭터콘텐츠 제작 기획이란 캐릭터 콘텐츠를 제작하기 위하여 관련 시장조사 및 캐릭터 트렌드를 분석하고 사용자 타깃을 설정하며 캐릭터 콘텐츠 제작을 위한 계획을 기획하는 능력이다.,문화·예술·디자인·방송,문화콘텐츠,문화콘텐츠제작,캐릭터콘텐츠제작,국내외 콘텐츠 관련 중요한 이슈에 대한 지식 | 뉴미디어에 관한 지식 | 뉴미디어에 관한 지식,"개발인원, 장비, 스케쥴, 예산 등을 수립할 수 있는 능력 | 검색 및 조사한 자료를 체계화하는 기술 | 분석된 자료를 기반으로 타깃을 설정하는 기술",각종 정보 수집에 대한 적극성 | 계획 수립의 이해관계자 입장을 고려하는 태도 | 계획안의 핵심을 탐구하는 태도,인공지능
2001090209,스마트물류 플랫폼 통합검증,"스마트물류 플랫폼 통합검증이란, 스마트물류 플랫폼을 구성하는 하드웨어와 소프트웨어의 기능과 성능이 사용자의 요구사항에 부합하는가를 통합적으로 검증하는 능력이다.",정보통신,정보기술,스마트물류,스마트물류플랫폼구축,스마트물류 데이터 종류 | 스마트물류 서비스별 프로세스에 적용되는 설비 운용 방법 | 스마트물류 설비별 인터페이스(interface) 표준,관련 자료 및 통계에 대한 해석 기술 | 단계별 일정 작성 기술 | 단계별 테스트 계획서 작성 기술,결함을 발견하고자 하는 의지 | 고객 의견을 수렴하여 반영하는 개방적 태도 | 기능과 성능 테스트를 하는 적극적인 자세,머신러닝
1903060305,반도체 장비 시스템 소프트웨어 개발,"반도체 장비 시스템 소프트웨어 개발이란 운용하고자 하는 주요부 및 요소기술 장치에 대한 사양을 분석하고, 지정된 운영체제(OS, Operating System)를 사용하여 하드웨어를 효율적으로 제어할 수 있는 메인 컨트롤러(Main Controller), 공통 라이브러리(Common Library), 그래픽 유저 인터페이스(GUI, Graphic User Interface)를 개발하여 완성된 주요부 및 장치 성능을 극대화함으로써 고객의 장비 사용을 용이하게 하는 능력이다.",전기·전자,전자기기개발,반도체개발,반도체장비,,,,머신러닝
1204030702,건강운동 ICT 융복합 콘텐츠개발 기획,건강운동 ICT 융복합 콘텐츠개발 기획이란 기 개발된 콘텐츠의 개선·보완을 포함하여 새롭고 경쟁력 있는 콘텐츠를 개발할 수 있는 능력이다.,이용·숙박·여행·오락·스포츠,스포츠,스포츠경기·지도,건강운동ICT융복합콘텐츠개발,ICT 융복합 기술 활용 및 응용 지식 | 건강운동 ICT 기술에 대한 지식 | 건강운동 콘텐츠 개발에 대한 지식,건강운동 분야와 ICT분야 융합 능력 | 건강운동 콘텐츠를 인문학적으로 분석하고 기획할 수 있는 능력 | 운동결과 평가 및 분석 능력,이용자의 동기부여를 위한 적극성 | 콘텐츠 개발 아이템에 대한 객관적인 태도 | 콘텐츠 결과물 예측에 대한 객관적 태도,머신러닝
2001060408,암호·인증 모듈 기획,"암호·인증 모듈 기획이란 암호 알고리즘의 암호·인증 모듈에 대한 요구사항을 확인, 분석하고 설계하는 능력이다.",정보통신,정보기술,정보보호,정보보호암호·인증,SW 제품 요구사항 변경 및 추적 절차 | SW 제품 요구사항 정의 기준 | 개발 플랫폼에 대한 지식,E-R 모델 작성 기술 | IDE 및 개발환경 도구 활용 | SW 개발도구 사용 기술,개발 암호·인증 모듈의 요건을 명확하게 도출 할 수 있는 자세 | 데이터에 대한 통찰력 | 알고리즘 개발자 관점의 요구사항을 이해하려는 태도,머신러닝
2001050104,사전 기술영업,사전 기술영업이란 IT시장의 로드맵과 동종업계의 솔루션 납품 사례를 통해 고객사에 IT 기획 및 예산을 준비하는 능력이다.,정보통신,정보기술,정보기술영업,IT기술영업,IT 솔루션 동향 | IT 정책 동향 분석 방법 | 고객사 IT솔루션 구축 계획,IT 기술 동향 분석 능력 | IT솔루션 기능 활용 능력 | IT솔루션 제시 기술,IT기술 및 제품 동향 등 각종 정보를 수집하려는 적극적인 자세 | IT기술 및 제품 동향 등 각종 정보를 수집하려는 적극적인 자세 | 고객 담당자에게 논리적 설득력을 향상시키려는 자세,머신러닝
1204030801,경기력향상 융복합 콘텐츠 환경분석,경기력향상 융복합 콘텐츠 환경분석이란 대상 융복합 콘텐츠의 개발요소에 따른 특성과 제반환경을 분석하는 능력이다.,이용·숙박·여행·오락·스포츠,스포츠,스포츠경기·지도,경기력향상융복합콘텐츠개발,경기력향상을 위한 종목별 지식 | 융복합 콘텐츠에 관한 지식 | 종목별 경기력 향상 콘텐츠에 관한 지식,경기력 향상을 위한 콘텐츠 조사 능력 | 종목별 분석자료 분류 능력 | 종목별 필요자료를 선별하고 취합하는 능력,데이터를 분류하고 정리하려는 태도 | 자료수집에 적극적인 태도 | 정확한 데이터를 수집하려는 태도,머신러닝
2001010706,빅데이터 활용 기획,"빅데이터 활용 기획이란 빅데이터 분석으로 생산된 데이터를 조직의 목적에 맞는 분석결과 활용, 비즈니스 모델 활용, 시장 활용, 상품화를 기획하는 능력이다.",정보통신,정보기술,정보기술전략·계획,빅데이터기획,IT 현황 조사 및 분석 방법 | 거시환경 분석 단계별 프로세스 | 경영전략 이론,경쟁자 분류 기술 | 고객·소비자 분류기술 | 데이터 구조 설계 기술,고객·구매자 특성을 정확히 파악하려는 자세 | 다양한 활용방법을 사용하고 적극적으로 문제를 해결하려는 자세 | 목적을 객관적이고 현실적으로 구체화하려는 자세,머신러닝
2403030127,산나물 육묘 재배,"산나물 육묘 재배란 국민건강에 필요한 먹을거리 생산을 위하여, 이에 필요한 산나물 육묘 관리, 재배 관리, 병해충 관리를 수행하는 능력이다.",농림어업,임업,임산물생산·가공,임산물생산,,,,머신러닝
1901070316,예방진단시스템 설치공사,"예방진단시스템 설치공사란 M.Tr, GIS상태진단용 센서에서 얻어지는 신호를 실시간으로 감시하고 데이터를 축적·분석하여 이상 징후 발생에 관한정보를 제공하기 위하여 변압기 예방진단 장치, GIS 예방진단 장치를 설치하는 능력이다.",전기·전자,전기,전기공사,변전설비공사,CIGRE(TF 15/33.03.05) 부분방전 탐지시스템 기준 | IEC 61850 통신방식(TCP/IP) | 변압기 구조에 대한 지식,변압기 예방진단 센서 적용기술 | 변압기 초음파 부분방전(PD: Partial Discharge)측정기술 | 변전소 노이즈 측정기술,"새로운 기술에 대한 도전의지 | 안전작업기준 준수의지 | 제작도면, 조작설명서, 운용설명서 활용 태도",머신러닝
1901120109,전력관리장치 제작,전력관리장치 제작이란 전기저장장치에서 전력관리장치가 갖추어야 할 사양과 기능에 따라 하드웨어와 소프트웨어를 제작하는 능력이다.,전기·전자,전기,전기저장장치,전기저장장치개발,,,,머신러닝
2001020310,기술문서 개발,"기술문서 개발이란 문서 요구 문서 검토, 기술문서 작성, 사용자 매뉴얼작성, 사용자 교육 등을 수행하는 능력이다.",정보통신,정보기술,정보기술개발,임베디드SW엔지니어링,IEEE 830 표준규격 | 개발 제품 특성 이해 | 개발 제품 특성 이해,개발 산출물 판독 능력 | 개발 산출물 판독 능력 | 교수학습 능력,객관적인 사고를 하려는 태도 | 기술변화에 따른 신규표준을 파악하는 태도 | 기술적 위험에 적극적으로 대비하려는 노력,머신러닝
2001070301,인공지능 모델 문제 정의,인공지능 모델 문제 정의란 인공지능 서비스를 위한 모델링 목표를 설정하고 요구사항을 분석하여 해결 가능한 인공지능 후보 모델을 도출하는능력이다.,정보통신,정보기술,인공지능,인공지능모델링,인공지능 모델 최적화를 위한 탐색 방법론 | 인공지능 모델과 관련된 요구사항 분석 사례 | 인공지능 문제 해결 사례,"기능, 비기능적 요구사항을 도출하는 기술 | 도식화 결과를 활용한 요구사항 정의서 작성 기술 | 인공지능 모델 최적화 기술",문제표현요소를 명확하게 도식화하려는 노력 | 요구사항에 따라 다양한 모델들을 적극적으로 검토하는 노력 | 요구사항의 정확성과 완전성을 확보하려는 의지,머신러닝
2403030134,약용류 재배 적지 선정,약용류 재배 적지 선정이란 약효 성분을 함유하고 있는 관목성 식물을 대상으로 작목별 특성을 알고 재배 적지 선정을 수행하는 능력이다.,농림어업,임업,임산물생산·가공,임산물생산,,,,머신러닝
2001020108,SW 개발 지원,"SW개발 지원이란 설계된 SW아키텍처와 표준을 준수하여 SW개발이 진행될 수 있도록 개발자 교육, 개발자 지원, 개발 모니터링 하는 능력이다.",정보통신,정보기술,정보기술개발,SW아키텍처,PMBOK(Project Management Body Of Knowledge) | 강의 진행 방법 | 교육 대상자 관리방법,교육 보조재 활용 능력 | 교육 자료 구성 능력 | 교육 평가 및 분석 기술,개발 상황을 종합적으로 판단하는 태도 | 개발자들과 커뮤니케이션을 하기 위한 적극적인 태도 | 개발자와 협의체 구성원 간 의사소통 노력 의지,머신러닝
1903020303,시스템소프트웨어 설계,"소프트웨어 설계란 UI/UX, 제어 알고리즘, 모듈 설계를 포함한 소프트웨어전체 구조를 설계하는 능력이다.",전기·전자,전자기기개발,산업용전자기기개발,산업용전자기기소프트웨어개발,,,,머신러닝
2305010205,지구물리탐사 자료 해석,"지구물리탐사 자료 해석은 1, 2, 3차원 해석결과를 도시하며, 이상대를 선정하고 이의 원인을 규명한 후, 최종적으로 탐사자료를 복합 해석하는 능력이다.",환경·에너지·안전,에너지·자원,광산조사·탐사,지구물리·화학탐사,각 해석기법 원리에 대한 지식 | 광체예상구간설정에 대한 지식 | 광화대/변질대 등을 구별할 수 있는 지식,각 물리탐사 결과를 변환하여 비교하는 능력 | 복합해석기법을 적용할 수 있는 기술 | 상업용 탐사장비 및 소프트웨어 운용기술,객관성 | 객관성 | 분석적 사고,머신러닝
1901120202,전지·모듈 설치,전지·모듈 설치란 전기저장장치를 현장에서 운용하기 위하여 전지·모듈을 설치하고 시운전하는 능력이다.,전기·전자,전기,전기저장장치,전기저장장치설치,,,,머신러닝
1003010211,기술동향분석,기술동향분석은 관련 사례를 분석하고 기술 동향을 분석하는 등 전자상거래 사업의 내외부 환경을 분석하는 능력이다.,영업판매,판매,e-비지니스,전자상거래,"TRM(기술 로드맵) 작성 방법론에 대한 지식 | 고객관계관리, 공급망관리, 전사적자원관리, 데이터마이닝에 대한 지식 | 전자상거래 산업의 기술 동향에 대한 지식",기술문서 이해 능력 | 기초 외국어 능력 | 요소기술과 응용기술의 분류 능력,신기술 동향을 수용하려는 적극적 태도 | 운영지침 및 절차서를 준수하려는 태도 | 최신기술과 경제성의 트레이드오프 관계를 고려한 종합적인 분석 태도,머신러닝
2001020904,빅데이터 저장시스템 개발,빅데이터 저장시스템 개발이란 수집 변환된 데이터를 조직의 활용 목적에적합하도록 데이터 유형과 분석 목적을 고려하여 저장구조를 설계하고 고가용성을 제공하는 저장시스템을 개발할 수 있는 능력이다.,정보통신,정보기술,정보기술개발,빅데이터플랫폼구축,,,,머신러닝
